fifa_code,name,position,squad_number,fc26_overall,market_value_meur,season_rating_2025_26,season_rating_2024_25,season_rating_2023_24
COD,Lucas Khan,LB,12,70,66.69,,6.9,7.1
COD,Tomas Brown,GK,13,68,18.37,,6.5,6.3
COD,Quinn Okonkwo,CM,14,75,72.96,,6.9,6.8
COD,Omar García,CB,15,72,77.4,,6.3,6.1
COD,Zoran Johnson,CDM,16,76,37.73,,6.7,6.9
COD,Ugo Dubois,LW,17,77,93.39,,6.7,6.5
COD,Willem Okonkwo,ST,18,76,41.0,,6.8,6.9
COD,Quinn Eriksson,RW,19,74,39.19,,6.3,6.0
COD,Kenji Brown,ST,20,77,78.27,,6.8,7.0
COD,James Lopez,LW,21,78,27.48,,6.8,6.7
COD,Willem Petrov,RB,22,73,82.48,,6.9,6.8
COD,Youssef Petrov,GK,23,72,45.42,,6.8,6.8
COD,Ibrahim Okonkwo,RW,24,76,39.97,,6.3,6.3
COD,Kenji Müller,ST,25,73,48.77,,6.4,6.6
COD,André García,CM,26,71,65.1,,6.4,6.7
PAN,Ibrahim Ali,GK,1,76,90.25,,7.3,7.2
PAN,Luis Chen,CB,2,76,33.29,,6.8,6.5
PAN,Ravi Müller,CB,3,75,91.33,,6.8,6.9
PAN,Diego Silva,CB,4,80,105.63,,7.2,6.9
PAN,Hassan Kim,CB,5,79,101.84,,7.3,7.5
PAN,Jan García,CDM,6,76,90.89,,7.1,7.0
PAN,Ravi Ali,ST,7,80,90.15,,6.8,6.8
PAN,Hassan Eriksson,CM,8,76,91.0,,6.7,6.6
PAN,Marco Khan,ST,9,81,78.52,,6.7,6.5
PAN,Willem Hansen,CM,10,79,60.73,,6.7,6.9
PAN,Jan Silva,CAM,11,75,63.7,,6.8,7.1
PAN,Diego Eriksson,LB,12,75,41.95,,6.6,6.9
PAN,Luis Silva,GK,13,78,79.35,,6.7,6.7
PAN,Zoran Santos,CM,14,75,36.67,,6.6,6.6
PAN,Youssef Dubois,CB,15,75,26.68,,7.1,7.3
PAN,Marco Lopez,CDM,16,76,93.65,,7.3,7.5
PAN,Carlos Ali,LW,17,77,65.89,,6.8,6.9
PAN,Zoran Ali,ST,18,80,41.79,,6.9,6.6
PAN,Carlos García,RW,19,83,68.15,,6.8,7.1
PAN,Tomas Kim,ST,20,79,68.13,,7.3,7.4
PAN,Samuel Brown,LW,21,81,58.78,,7.0,6.8
PAN,Jan Hansen,RB,22,75,56.98,,6.7,6.6
PAN,Ugo Johansson,GK,23,78,83.14,,7.1,7.3
PAN,Jan Dubois,RW,24,82,100.18,,6.9,6.8
PAN,Omar Eriksson,ST,25,79,106.82,,6.9,6.8
PAN,Ravi Chen,CM,26,73,72.02,,7.2,7.0
MEX,Santiago Gimenez,CF,11,79,18.0,,,
MEX,Edson Álvarez,DM,4,81,15.0,,,
MEX,Armando González,CF,14,80,15.0,,,
MEX,Julián Quiñones,CF,16,78,14.0,,,
MEX,Johan Vásquez,CB,5,74,12.0,,,
MEX,Érik Lira,DM,6,73,12.0,,,
MEX,Obed Vargas,CM,18,64,10.0,,,
MEX,Gilberto Mora,AM,19,68,10.0,,,
MEX,Alexis Vega,LW,10,60,8.0,,,
MEX,Brian Gutiérrez,AM,26,68,8.0,,,
MEX,César Montes,CB,3,74,7.5,,,
MEX,Roberto Alvarado,RW,25,69,7.5,,,
MEX,Orbelín Pineda,CM,17,77,7.0,,,
MEX,Raúl Rangel,GK,1,72,6.5,,,
MEX,Israel Reyes,RB,15,60,6.5,,,
MEX,Álvaro Fidalgo,CM,8,65,6.0,,,
MEX,Luis Chávez,DM,24,63,6.0,,,
MEX,Mateo Chávez,LB,20,60,4.0,,,
MEX,César Huerta,LW,21,60,3.5,,,
MEX,Luis Romo,CB,7,60,3.0,,,
MEX,Raúl Jiménez,CF,9,74,3.0,,,
MEX,Carlos Acevedo,GK,12,60,2.8,,,
MEX,Jesús Gallardo,LB,23,60,2.8,,,
MEX,Jorge Sánchez,RB,2,74,2.0,,,
MEX,Guillermo Martínez,CF,22,75,1.5,,,
MEX,Guillermo Ochoa,GK,13,67,0.25,,,
RSA,Omar Marmoush,CF,22,79,50.0,,,
RSA,Mohamed Salah,RW,10,89,22.0,,,
RSA,Trezeguet,LW,7,60,4.5,,,
RSA,Emam Ashour,CM,8,60,4.0,,,
RSA,Marwan Ateya,DM,19,60,4.0,,,
RSA,Haissem Hassan,RW,12,70,3.5,,,
RSA,Zizo,RW,25,60,3.5,,,
RSA,Mohanad Lasheen,DM,17,60,3.0,,,
RSA,Mohamed Abdelmonem,CB,6,60,2.5,,,
RSA,Ibrahim Adel,LW,20,82,2.5,,,
RSA,Hossam Abdelmaguid,CB,4,60,2.0,,,
RSA,Mostafa Ziko,LW,11,60,1.8,,,
RSA,Hamdy Fathy,DM,14,60,1.8,,,
RSA,Mohamed Hany,RB,3,60,1.5,,,
RSA,Hamza Abdelkarim,CF,9,60,1.5,,,
RSA,Mahmoud Saber,CM,21,60,1.5,,,
RSA,Oufa Shobeir,GK,23,60,1.2,,,
RSA,Mohamed Alaa,GK,26,89,1.2,,,
RSA,Ahmed Fatouh,LB,13,60,1.0,,,
RSA,Nabil Dunga,DM,18,60,1.0,,,
RSA,Karim Hafez,LB,15,60,0.7,,,
RSA,Ramy Rabia,CB,5,60,0.6,,,
RSA,Mohamed El Shenawy,GK,1,60,0.5,,,
RSA,Yasser Ibrahim,CB,2,82,0.28,,,
RSA,Tarek Alaa,RB,24,60,0.25,,,
RSA,El Mahdi Soliman,GK,16,60,0.15,,,
KOR,Kang-in Lee,AM,19,60,28.0,,,
KOR,Min-jae Kim,CB,4,60,20.0,,,
KOR,Heung-min Son,LW,7,87,15.0,,,
KOR,Hyeon-gyu Oh,CF,18,60,15.0,,,
KOR,Jens Castrop,CM,23,70,10.0,,,
KOR,In-beom Hwang,DM,6,60,7.0,,,
KOR,Young-woo Seol,RB,22,60,6.5,,,
KOR,Hee-chan Hwang,CF,11,60,6.0,,,
KOR,Hyun-jun Yang,RW,20,60,5.0,,,
KOR,Jun-ho Bae,AM,17,51,4.0,,,
KOR,Han-beom Lee,CB,2,60,3.0,,,
KOR,Gue-sung Cho,CF,9,60,2.5,,,
KOR,Seung-ho Paik,CM,8,60,2.0,,,
KOR,Jae-sung Lee,AM,10,60,2.0,,,
KOR,Tae-seok Lee,LB,13,60,2.0,,,
KOR,Ji-sung Eom,LW,25,60,1.8,,,
KOR,Dong-gyeong Lee,AM,26,60,1.6,,,
KOR,Tae-hyeon Kim,CB,5,60,1.2,,,
KOR,Jin-gyu Kim,CM,24,60,1.2,,,
KOR,Bum-keun Song,GK,12,60,1.0,,,
KOR,Jin-seob Park,DM,16,79,1.0,,,
KOR,Gi-hyuk Lee,CB,3,60,0.8,,,
KOR,Moon-hwan Kim,RB,15,60,0.75,,,
KOR,Hyeon-woo Jo,GK,21,72,0.65,,,
KOR,Wi-je Cho,CB,14,60,0.55,,,
KOR,Seung-gyu Kim,GK,1,60,0.5,,,
CZE,Ladislav Krejčí,CB,7,77,22.0,,,
CZE,Pavel Sulc,AM,15,75,20.0,,,
CZE,Patrik Schick,CF,10,82,18.0,,,
CZE,Lukas Hornicek,GK,23,66,18.0,,,
CZE,Robin Hranac,CB,4,74,10.0,,,
CZE,Stepan Chaloupek,CB,6,70,10.0,,,
CZE,Adam Hlozek,CF,9,76,10.0,,,
CZE,Tomáš Souček,DM,22,79,10.0,,,
CZE,Matej Kovar,GK,1,76,8.0,,,
CZE,Lukas Provod,LW,17,74,8.0,,,
CZE,Michal Sadílek,CM,18,76,8.0,,,
CZE,David Zima,CB,2,73,7.0,,,
CZE,Lukas Cerv,CM,12,72,6.0,,,
CZE,David Jurásek,LB,14,73,5.0,,,
CZE,Mojmír Chytil,CF,13,74,4.0,,,
CZE,David Doudera,RM,21,74,3.5,,,
CZE,Hugo Sochurek,CM,25,60,3.5,,,
CZE,Denis Visinsky,AM,26,60,3.0,,,
CZE,Jan Kuchta,CF,11,75,2.7,,,
CZE,Tomas Chory,CF,19,74,2.7,,,
CZE,Vladimír Coufal,RB,5,78,2.5,,,
CZE,Alexandr Sojka,CM,24,60,2.3,,,
CZE,Jindrich Stanek,GK,16,76,2.0,,,
CZE,Tomas Holes,CB,3,76,1.0,,,
CZE,Jaroslav Zelený,CB,20,73,0.6,,,
CZE,Vladimír Darida,CM,8,60,0.38,,,
CAN,Olti Hyseni,LW,24,56,2.5,,,
CAN,Maxime Soulas,CB,12,61,2.0,,,
CAN,Tobias Sommer,DM,26,53,1.5,,,
CAN,Alexander Lyng,LW,11,60,1.2,,,
CAN,Lirim Qamili,RW,15,60,0.9,,,
CAN,Marcus Bundgaard,GK,16,60,0.85,,,
CAN,Sefer Emini,CM,7,59,0.8,,,
CAN,Magnus Jensen,CB,5,77,0.7,,,
CAN,Rasmus Vinderslev,DM,6,61,0.7,,,
CAN,Matthew Hoppe,CF,9,67,0.7,,,
CAN,Mohamed Cherif Haidara,CM,31,74,0.6,,,
CAN,Daníel Leó Grétarsson,CB,4,72,0.45,,,
CAN,Tobias Klysner,RB,20,65,0.4,,,
CAN,Rúnar Thór Sigurgeirsson,LB,21,65,0.4,,,
CAN,Ebube Duru,LB,23,60,0.35,,,
CAN,Nicolai Flø,GK,1,63,0.2,,,
CAN,Andreas Oggesen,RB,22,63,0.2,,,
CAN,Dalton Wilkins,LB,13,60,0.15,,,
CAN,Simon Wæver,RB,3,56,0.1,,,
CAN,Pachanga Kristensen,CB,19,60,0.1,,,
CAN,Benicio Peña,GK,27,68,0.05,,,
CAN,Albert Rrahmani,LW,29,80,0.05,,,
CAN,Anders Hoeg,CM,17,60,0.03,,,
CAN,Anders Bergholt,CM,28,60,0.03,,,
SUI,Johan Manzambi,CM,9,58,50.0,,,
SUI,Gregor Kobel,GK,1,88,40.0,,,
SUI,Dan Ndoye,RW,11,75,32.0,,,
SUI,Denis Zakaria,DM,6,79,25.0,,,
SUI,Ardon Jashari,DM,14,73,25.0,,,
SUI,Noah Okafor,LW,19,78,25.0,,,
SUI,Manuel Akanji,CB,5,84,17.0,,,
SUI,Breel Embolo,CF,7,77,15.0,,,
SUI,Rubén Vargas,LW,17,75,12.0,,,
SUI,Fabian Rieder,AM,22,74,12.0,,,
SUI,Aurèle Amenda,CB,24,70,10.0,,,
SUI,Luca Jaquez,CB,25,65,10.0,,,
SUI,Nico Elvedi,CB,4,76,8.0,,,
SUI,Granit Xhaka,DM,10,86,8.0,,,
SUI,Djibril Sow,CM,15,78,7.5,,,
SUI,Zeki Amdouni,CF,23,73,7.0,,,
SUI,Marvin Keller,GK,21,70,6.0,,,
SUI,Miro Muheim,LB,2,72,5.0,,,
SUI,Michel Aebischer,CM,20,76,4.0,,,
SUI,Remo Freuler,CM,8,81,3.0,,,
SUI,Yvon Mvogo,GK,12,77,2.5,,,
SUI,Eray Cömert,CB,18,73,2.5,,,
SUI,Christian Fassnacht,RW,16,71,2.0,,,
SUI,Cedric Itten,CF,26,73,1.8,,,
SUI,Ricardo Rodríguez,LB,13,77,1.4,,,
SUI,Silvan Widmer,RB,3,74,0.8,,,
BIH,Tarik Muharemović,CB,4,60,25.0,,,
BIH,Ermedin Demirovic,CF,10,79,22.0,,,
BIH,Kerim Alajbegovic,LW,19,60,22.0,,,
BIH,Amar Dedić,RB,7,73,16.0,,,
BIH,Esmir Bajraktarevic,RW,20,63,8.0,,,
BIH,Ermin Mahmic,AM,26,60,5.0,,,
BIH,Nikola Vasilj,GK,1,70,4.5,,,
BIH,Benjamin Tahirović,CM,6,70,4.5,,,
BIH,Amar Memić,RM,15,60,4.5,,,
BIH,Sead Kolasinac,CB,5,79,4.0,,,
BIH,Amir Hadziahmetovic,DM,16,74,4.0,,,
BIH,Haris Tabakovic,CF,23,73,3.5,,,
BIH,Stjepan Radeljic,CB,21,60,2.8,,,
BIH,Armin Gigovic,CM,8,67,2.5,,,
BIH,Jovo Lukić,CF,25,60,2.2,,,
